country,date,cases
Austria,2020-03-05,11
Austria,2020-03-06,14
Austria,2020-03-07,18
Austria,2020-03-08,24
Austria,2020-03-09,33
Austria,2020-03-10,47
Austria,2020-03-11,63
Austria,2020-03-12,84
Austria,2020-03-13,104
Austria,2020-03-14,134
Austria,2020-03-15,165
Austria,2020-03-16,211
Austria,2020-03-17,257
Austria,2020-03-18,298
Austria,2020-03-19,350
Austria,2020-03-20,418
Austria,2020-03-21,485
Austria,2020-03-22,545
Austria,2020-03-23,623
Austria,2020-03-24,679
Austria,2020-03-25,711
Austria,2020-03-26,728
Austria,2020-03-27,747
Austria,2020-03-28,730
Austria,2020-03-29,694
Austria,2020-03-30,653
Austria,2020-03-31,616
Austria,2020-04-01,544
Austria,2020-04-02,493
Austria,2020-04-03,444
Austria,2020-04-04,401
Austria,2020-04-05,353
Austria,2020-04-06,325
Austria,2020-04-07,308
Austria,2020-04-08,298
Austria,2020-04-09,284
Austria,2020-04-10,270
Austria,2020-04-11,254
Austria,2020-04-12,228
Austria,2020-04-13,197
Austria,2020-04-14,173
Austria,2020-04-15,151
Austria,2020-04-16,128
Austria,2020-04-17,112
Austria,2020-04-18,101
Austria,2020-04-19,92
Austria,2020-04-20,81
Austria,2020-04-21,75
Austria,2020-04-22,73
Austria,2020-04-23,66
Belgium,2020-03-04,16
Belgium,2020-03-05,22
Belgium,2020-03-06,28
Belgium,2020-03-07,33
Belgium,2020-03-08,37
Belgium,2020-03-09,43
Belgium,2020-03-10,53
Belgium,2020-03-11,63
Belgium,2020-03-12,79
Belgium,2020-03-13,99
Belgium,2020-03-14,119
Belgium,2020-03-15,143
Belgium,2020-03-16,170
Belgium,2020-03-17,206
Belgium,2020-03-18,251
Belgium,2020-03-19,301
Belgium,2020-03-20,344
Belgium,2020-03-21,390
Belgium,2020-03-22,441
Belgium,2020-03-23,529
Belgium,2020-03-24,613
Belgium,2020-03-25,753
Belgium,2020-03-26,906
Belgium,2020-03-27,1033
Belgium,2020-03-28,1132
Belgium,2020-03-29,1223
Belgium,2020-03-30,1279
Belgium,2020-03-31,1306
Belgium,2020-04-01,1314
Belgium,2020-04-02,1323
Belgium,2020-04-03,1295
Belgium,2020-04-04,1299
Belgium,2020-04-05,1320
Belgium,2020-04-06,1355
Belgium,2020-04-07,1379
Belgium,2020-04-08,1383
Belgium,2020-04-09,1408
Belgium,2020-04-10,1390
Belgium,2020-04-11,1351
Belgium,2020-04-12,1399
Belgium,2020-04-13,1382
Belgium,2020-04-14,1378
Belgium,2020-04-15,1345
Belgium,2020-04-16,1326
Belgium,2020-04-17,1336
Belgium,2020-04-18,1304
Belgium,2020-04-19,1287
Belgium,2020-04-20,1287
Belgium,2020-04-21,1188
Belgium,2020-04-22,1166
Belgium,2020-04-23,1134
Bulgaria,2020-03-15,10
Bulgaria,2020-03-16,11
Bulgaria,2020-03-17,13
Bulgaria,2020-03-18,15
Bulgaria,2020-03-19,17
Bulgaria,2020-03-20,18
Bulgaria,2020-03-21,20
Bulgaria,2020-03-22,21
Bulgaria,2020-03-23,21
Bulgaria,2020-03-24,22
Bulgaria,2020-03-25,24
Bulgaria,2020-03-26,24
Bulgaria,2020-03-27,23
Bulgaria,2020-03-28,24
Bulgaria,2020-03-29,25
Bulgaria,2020-03-30,26
Bulgaria,2020-03-31,27
Bulgaria,2020-04-01,27
Bulgaria,2020-04-02,27
Bulgaria,2020-04-03,26
Bulgaria,2020-04-04,26
Bulgaria,2020-04-05,26
Bulgaria,2020-04-06,25
Bulgaria,2020-04-07,23
Bulgaria,2020-04-08,23
Bulgaria,2020-04-09,22
Bulgaria,2020-04-10,21
Bulgaria,2020-04-11,20
Bulgaria,2020-04-12,21
Bulgaria,2020-04-13,23
Bulgaria,2020-04-14,26
Bulgaria,2020-04-15,28
Bulgaria,2020-04-16,32
Bulgaria,2020-04-17,33
Bulgaria,2020-04-18,35
Bulgaria,2020-04-19,37
Bulgaria,2020-04-20,38
Bulgaria,2020-04-21,38
Bulgaria,2020-04-22,37
Bulgaria,2020-04-23,37
Croatia,2020-03-16,10
Croatia,2020-03-17,12
